test/success_rate,epoch,stats_g/std,stats_g/mean,train/episode,test/episode,stats_o/mean,test/mean_Q,train/success_rate,stats_o/std
0.05000000000000001,18,0.2458968,0.37116852,1900.0,380.0,0.19800882,-24.180414,0.013333333333333334,0.8633202
0.03333333333333333,19,0.24562965,0.3708705,2000.0,400.0,0.19770567,-25.043573,0.014166666666666666,0.86947304
0.041666666666666664,20,0.24528463,0.37102333,2100.0,420.0,0.19773616,-25.859808,0.011666666666666667,0.8753104
0.07083333333333335,21,0.24493156,0.37087962,2200.0,440.0,0.19765036,-21.477783,0.011666666666666667,0.8804205
0.05833333333333333,22,0.24459343,0.37101004,2300.0,460.0,0.197347,-25.149256,0.014166666666666668,0.8855645
0.08333333333333333,23,0.24427615,0.37093,2400.0,480.0,0.19700383,-25.323471,0.01,0.8904364
0.07083333333333333,24,0.24413009,0.37072662,2500.0,500.0,0.1965911,-24.234787,0.0175,0.8955553
0.07500000000000001,25,0.24382524,0.3704803,2600.0,520.0,0.19605958,-24.457495,0.014166666666666666,0.9005415
0.05416666666666667,26,0.24361096,0.37045404,2700.0,540.0,0.19559519,-25.620766,0.017499999999999998,0.90492517
0.0625,27,0.24326764,0.37054297,2800.0,560.0,0.19540222,-25.134872,0.020833333333333332,0.90882367
0.05416666666666667,28,0.24299003,0.37038478,2900.0,580.0,0.19499917,-25.91194,0.021666666666666667,0.91216755
0.05833333333333334,29,0.24281226,0.3702499,3000.0,600.0,0.19485061,-27.150911,0.021666666666666667,0.915366
0.07083333333333335,30,0.24274325,0.36986867,3100.0,620.0,0.19442719,-26.792204,0.013333333333333334,0.9184477
0.07916666666666666,31,0.24265184,0.369545,3200.0,640.0,0.19431269,-24.526161,0.014166666666666668,0.92093056
0.075,32,0.24259634,0.36924425,3300.0,660.0,0.1938358,-24.350992,0.012499999999999999,0.9235676
0.0625,33,0.2423854,0.36907467,3400.0,680.0,0.19360752,-27.725714,0.02916666666666667,0.9262616
0.06666666666666667,34,0.24216437,0.36899337,3500.0,700.0,0.19344406,-24.452868,0.0175,0.92876744
0.08750000000000001,35,0.2420141,0.36879322,3600.0,720.0,0.1932633,-24.463135,0.02,0.9313176
0.12083333333333335,36,0.24186738,0.36905956,3700.0,740.0,0.19326891,-23.700447,0.02416666666666667,0.9337049
0.10833333333333334,37,0.24176912,0.36909947,3800.0,760.0,0.19313307,-22.227182,0.02916666666666667,0.93593264
0.08333333333333333,38,0.24165106,0.36911544,3900.0,780.0,0.19309215,-22.747293,0.0325,0.9382495
0.08750000000000001,39,0.24150743,0.36898828,4000.0,800.0,0.19307907,-23.135984,0.016666666666666666,0.9404602
0.09583333333333334,40,0.24143215,0.36900023,4100.0,820.0,0.19297142,-23.986471,0.028333333333333335,0.94249374
0.1125,41,0.2412491,0.36916456,4200.0,840.0,0.19287665,-23.174006,0.030833333333333334,0.94435674
0.1375,42,0.24105193,0.36939886,4300.0,860.0,0.19274612,-21.367952,0.023333333333333334,0.94629556
0.125,43,0.24092995,0.36940852,4400.0,880.0,0.19264646,-21.353315,0.030833333333333334,0.9481266
0.14583333333333334,44,0.2407737,0.36947498,4500.0,900.0,0.19251496,-21.523727,0.02416666666666667,0.9497989
0.14583333333333334,45,0.24073339,0.36944008,4600.0,920.0,0.19246715,-19.309694,0.02916666666666667,0.95146775
0.09999999999999999,46,0.24062188,0.36943603,4700.0,940.0,0.19244589,-24.355623,0.0275,0.9530962
0.16666666666666666,47,0.24057804,0.36951056,4800.0,960.0,0.19233213,-21.348236,0.03416666666666667,0.9549289
0.12916666666666668,48,0.24053621,0.36966887,4900.0,980.0,0.19226871,-18.350391,0.0325,0.95672464
0.1625,49,0.24040316,0.36973116,5000.0,1000.0,0.19233231,-20.02287,0.035,0.9581762
