test/success_rate,epoch,stats_g/std,stats_g/mean,train/episode,test/episode,stats_o/mean,test/mean_Q,train/success_rate,stats_o/std
0.0,0,0.24301274,0.36888328,100.0,20.0,0.19576351,-2.8192596,0.0,0.7881307
0.0,1,0.2421423,0.37061343,200.0,40.0,0.19923627,-4.9898624,0.0,0.78147435
0.0,2,0.24141534,0.37406978,300.0,60.0,0.19864601,-7.0220313,0.0,0.7767944
0.0,3,0.23974009,0.37440482,400.0,80.0,0.19856232,-9.194001,0.0,0.7756753
0.0,4,0.23972917,0.3751457,500.0,100.0,0.19859348,-11.053571,0.0,0.77652925
0.0,5,0.24069802,0.37370786,600.0,120.0,0.1982711,-12.381452,0.0,0.781079
0.0,6,0.24182363,0.3736992,700.0,140.0,0.1978379,-14.677429,0.0,0.78980875
0.0,7,0.24340282,0.37376276,800.0,160.0,0.19754861,-15.305312,0.0,0.79737645
0.004166666666666667,8,0.24494867,0.3727735,900.0,180.0,0.19741791,-16.753422,0.0025,0.80460125
0.004166666666666667,9,0.2455462,0.3717865,1000.0,200.0,0.19796516,-17.164976,0.0,0.8099924
0.016666666666666666,10,0.2459185,0.37164316,1100.0,220.0,0.19819368,-18.99673,0.0025,0.8159587
0.016666666666666666,11,0.24605457,0.37152734,1200.0,240.0,0.19867963,-20.297583,0.005833333333333334,0.8219006
0.016666666666666666,12,0.24628784,0.37133917,1300.0,260.0,0.19890934,-21.469652,0.0008333333333333334,0.82790095
0.020833333333333332,13,0.24626303,0.3715681,1400.0,280.0,0.19846104,-20.803488,0.0033333333333333335,0.83440834
0.012500000000000002,14,0.24611981,0.37154993,1500.0,300.0,0.19810466,-21.985428,0.006666666666666667,0.8411878
0.025000000000000005,15,0.24592383,0.37167856,1600.0,320.0,0.19820325,-21.185816,0.01,0.84733695
0.037500000000000006,16,0.24606593,0.37143216,1700.0,340.0,0.19815238,-24.328217,0.008333333333333333,0.8534994
0.016666666666666666,17,0.24594702,0.37135264,1800.0,360.0,0.19813786,-24.365976,0.005833333333333333,0.8585591
