stats_o/std,stats_o/mean,test/mean_Q,stats_g/std,epoch,test/success_rate,train/episode,stats_g/mean,train/success_rate,test/episode
0.8626706,0.19670637,-27.60511,0.23821132,27,0.05000000000000001,2800.0,0.37957117,0.010833333333333334,560.0
0.86783963,0.1968249,-27.981339,0.23801668,28,0.03333333333333333,2900.0,0.37967935,0.015,580.0
0.8728194,0.19673288,-25.605791,0.23774128,29,0.05833333333333333,3000.0,0.37972078,0.008333333333333333,600.0
0.8773243,0.19675179,-25.595362,0.23758413,30,0.05833333333333333,3100.0,0.37958577,0.015833333333333335,620.0
0.8814554,0.19675964,-24.305418,0.23736401,31,0.07083333333333335,3200.0,0.37969747,0.012499999999999999,640.0
0.88557935,0.19654673,-26.218979,0.23704024,32,0.0625,3300.0,0.3798035,0.018333333333333337,660.0
0.8896219,0.1964149,-25.960007,0.23671365,33,0.04583333333333334,3400.0,0.37985185,0.020833333333333332,680.0
0.8934117,0.19621558,-26.158936,0.23641181,34,0.06666666666666667,3500.0,0.3800601,0.015,700.0
0.89699215,0.19608335,-25.530172,0.236091,35,0.09166666666666667,3600.0,0.3802162,0.018333333333333337,720.0
0.9005198,0.19601561,-25.145628,0.23585384,36,0.07083333333333335,3700.0,0.380451,0.018333333333333337,740.0
0.90371245,0.19603153,-24.414759,0.23566036,37,0.08750000000000001,3800.0,0.38059428,0.015833333333333335,760.0
0.9069899,0.19599308,-25.127882,0.23546644,38,0.06250000000000001,3900.0,0.3806425,0.014166666666666666,780.0
0.91023517,0.1958905,-25.469477,0.23527074,39,0.09166666666666667,4000.0,0.38063273,0.0175,800.0
0.9130881,0.19579262,-24.843863,0.23511426,40,0.07083333333333335,4100.0,0.38074732,0.024166666666666666,820.0
0.91606313,0.19570704,-24.392487,0.2348512,41,0.09166666666666667,4200.0,0.38088766,0.016666666666666666,840.0
0.91883117,0.19575293,-22.974646,0.23469059,42,0.07083333333333335,4300.0,0.38095072,0.023333333333333334,860.0
0.9213345,0.19567822,-24.497925,0.23459072,43,0.10833333333333334,4400.0,0.38089535,0.01916666666666667,880.0
0.9237304,0.19575764,-28.978745,0.23442306,44,0.06666666666666667,4500.0,0.38091937,0.016666666666666666,900.0
0.9259085,0.19585015,-23.509787,0.23439513,45,0.08333333333333333,4600.0,0.380923,0.020833333333333332,920.0
0.9281352,0.19586094,-28.147299,0.23434405,46,0.049999999999999996,4700.0,0.38092378,0.021666666666666667,940.0
0.9303234,0.19589539,-25.30023,0.23427415,47,0.07500000000000001,4800.0,0.38089517,0.016666666666666666,960.0
0.932234,0.19592328,-23.764555,0.23426552,48,0.08750000000000001,4900.0,0.3808701,0.011666666666666667,980.0
0.93406695,0.19592673,-26.084839,0.23412864,49,0.08750000000000001,5000.0,0.3809298,0.018333333333333337,1000.0
