stats_o/std,stats_o/mean,test/mean_Q,stats_g/std,epoch,test/success_rate,train/episode,stats_g/mean,train/success_rate,test/episode
0.7640254,0.19365911,-3.0472257,0.23578434,0,0.0,100.0,0.378505,0.0,20.0
0.7519457,0.19689442,-5.219774,0.23615174,1,0.0,200.0,0.380586,0.0,40.0
0.7447335,0.19660385,-7.290006,0.23572402,2,0.0,300.0,0.38241372,0.0,60.0
0.7424701,0.19662853,-9.472549,0.23516981,3,0.0,400.0,0.38079223,0.0,80.0
0.7431608,0.19644193,-11.51255,0.23515464,4,0.0,500.0,0.3812301,0.0,100.0
0.74394006,0.19613804,-13.165451,0.2351443,5,0.0,600.0,0.38050225,0.0,120.0
0.74530023,0.19615085,-15.435275,0.23532557,6,0.0,700.0,0.3801616,0.0,140.0
0.7469861,0.19608755,-16.98123,0.23608516,7,0.0,800.0,0.37982962,0.0,160.0
0.74928164,0.19595973,-19.069649,0.2363473,8,0.0,900.0,0.37927273,0.0,180.0
0.75265354,0.19609348,-20.148058,0.23653336,9,0.0,1000.0,0.37900606,0.0008333333333333334,200.0
0.756336,0.19603942,-22.276049,0.2366755,10,0.012500000000000002,1100.0,0.37940827,0.0008333333333333334,220.0
0.76044935,0.19585453,-23.774544,0.23720324,11,0.0,1200.0,0.37946454,0.0008333333333333334,240.0
0.7651765,0.19580992,-24.455566,0.2378143,12,0.004166666666666667,1300.0,0.3791336,0.0008333333333333334,260.0
0.7719643,0.19590418,-25.027262,0.23839729,13,0.008333333333333333,1400.0,0.37873545,0.0,280.0
0.77865696,0.19603808,-26.383467,0.23867242,14,0.008333333333333333,1500.0,0.37847987,0.0025,300.0
0.78562045,0.19631128,-26.37512,0.23864068,15,0.025000000000000005,1600.0,0.37858984,0.0033333333333333335,320.0
0.79214114,0.19640046,-27.848528,0.23897852,16,0.012500000000000002,1700.0,0.37845412,0.004166666666666667,340.0
0.7990292,0.19628738,-26.192682,0.23900364,17,0.020833333333333332,1800.0,0.37858823,0.0033333333333333335,360.0
0.80554205,0.19622493,-27.194422,0.23912476,18,0.0375,1900.0,0.37856832,0.008333333333333333,380.0
0.8117299,0.19620843,-28.599424,0.23901248,19,0.016666666666666666,2000.0,0.37864944,0.005,400.0
0.8181965,0.1961323,-28.306181,0.23893858,20,0.02916666666666667,2100.0,0.3787445,0.011666666666666667,420.0
0.825591,0.19635576,-26.384392,0.23882858,21,0.03333333333333333,2200.0,0.378885,0.009166666666666667,440.0
0.8321586,0.1961941,-27.069937,0.23872264,22,0.029166666666666664,2300.0,0.37903956,0.006666666666666667,460.0
0.83889776,0.19638906,-29.261545,0.2387836,23,0.020833333333333332,2400.0,0.37914434,0.008333333333333333,480.0
0.8455548,0.19661938,-27.750692,0.23866929,24,0.041666666666666664,2500.0,0.37936005,0.008333333333333333,500.0
0.8517995,0.19663543,-27.425547,0.23852555,25,0.004166666666666667,2600.0,0.37937188,0.01,520.0
0.8571892,0.19669844,-26.193045,0.23843594,26,0.05833333333333334,2700.0,0.37960878,0.005,540.0
