stats_g/std,test/episode,stats_g/mean,epoch,test/success_rate,train/success_rate,train/episode,stats_o/mean,test/mean_Q,stats_o/std
0.24308972,20.0,0.36544546,0,0.0,0.0,100.0,0.19780861,-3.0266464,0.79515237
0.2425795,40.0,0.36743203,1,0.0,0.0,200.0,0.20115094,-5.259894,0.79345626
0.24133788,60.0,0.37173286,2,0.0,0.0,300.0,0.20003422,-7.4559684,0.78574705
0.23991175,80.0,0.3720874,3,0.0,0.0,400.0,0.20036,-9.629858,0.7825387
0.24026252,100.0,0.37317458,4,0.0,0.0,500.0,0.19990857,-11.378737,0.7828192
0.24081759,120.0,0.37325957,5,0.0,0.0,600.0,0.19891836,-12.709587,0.78487366
0.24179752,140.0,0.37352023,6,0.0,0.0,700.0,0.19860305,-14.357915,0.79100513
0.24262764,160.0,0.37396362,7,0.0,0.0,800.0,0.19913284,-16.154001,0.79845744
0.2443316,180.0,0.37283346,8,0.004166666666666667,0.0008333333333333334,900.0,0.19885926,-17.291105,0.80654925
0.24502121,200.0,0.37245414,9,0.0,0.0,1000.0,0.19932117,-17.750021,0.8136385
0.2457055,220.0,0.3725973,10,0.012500000000000002,0.0016666666666666668,1100.0,0.19942959,-19.194014,0.82140523
0.24621044,240.0,0.372905,11,0.004166666666666667,0.0016666666666666668,1200.0,0.1993414,-19.953272,0.8284161
0.24621831,260.0,0.37325463,12,0.020833333333333332,0.0033333333333333335,1300.0,0.19903344,-20.703459,0.83619565
0.24628653,280.0,0.37358245,13,0.02916666666666667,0.006666666666666667,1400.0,0.19842042,-19.744013,0.84382313
0.24625815,300.0,0.3732609,14,0.016666666666666666,0.005833333333333334,1500.0,0.19855647,-22.325912,0.8512876
0.24613692,320.0,0.37308833,15,0.037500000000000006,0.004166666666666667,1600.0,0.19890839,-21.213278,0.8572146
0.24628685,340.0,0.37296987,16,0.012500000000000002,0.009166666666666667,1700.0,0.19920094,-25.147049,0.86273736
0.24622355,360.0,0.37311414,17,0.029166666666666664,0.006666666666666667,1800.0,0.19927017,-24.5159,0.8686525
0.24610768,380.0,0.37318948,18,0.05000000000000001,0.008333333333333333,1900.0,0.19900696,-22.871027,0.873739
0.24581666,400.0,0.37341407,19,0.03333333333333333,0.009166666666666668,2000.0,0.19869716,-25.628866,0.87912446
0.24565549,420.0,0.37368774,20,0.03333333333333333,0.013333333333333336,2100.0,0.19848865,-26.260107,0.88447636
0.2454319,440.0,0.3736887,21,0.05000000000000001,0.011666666666666667,2200.0,0.19838078,-23.328257,0.8895386
0.24514313,460.0,0.3739338,22,0.06666666666666667,0.008333333333333333,2300.0,0.19821115,-23.254692,0.89531225
