stats_g/std,stats_o/std,train/success_rate,stats_o/mean,test/mean_Q,epoch,test/success_rate,stats_g/mean,train/episode,test/episode
0.019273039,0.70160234,0.0,0.31632054,-2.779821,0,0.0,0.67421025,100.0,20.0
0.018492403,0.73424864,0.0,0.30499753,-1.9715096,1,0.0,0.67376995,200.0,40.0
0.018492935,0.7752922,0.0,0.29827884,-2.1937888,2,0.0,0.6735179,300.0,60.0
0.018370258,0.79334825,0.0,0.29928696,-2.4704738,3,0.0,0.6737805,400.0,80.0
0.018310118,0.8065663,0.0,0.30016884,-2.7547126,4,0.1,0.67389286,500.0,100.0
0.018293984,0.81429666,0.0,0.2995115,-2.6263137,5,0.1,0.6739778,600.0,120.0
0.018680848,0.8186209,0.0,0.30127233,-2.371219,6,0.1,0.674357,700.0,140.0
0.019126454,0.8230284,0.0,0.3023595,-3.2733464,7,0.0,0.6737409,800.0,160.0
0.01912133,0.82501274,0.0,0.3026745,-4.097689,8,0.0,0.6737524,900.0,180.0
0.019289017,0.8244799,0.0,0.30239722,-4.0243287,9,0.05,0.6734919,1000.0,200.0
0.01925016,0.8265299,0.0,0.30146965,-2.9321852,10,0.0,0.673385,1100.0,220.0
0.019099465,0.827377,0.01,0.300913,-2.139405,11,0.15,0.67326516,1200.0,240.0
0.018974287,0.8264832,0.01,0.3003835,-3.3167949,12,0.15,0.6731936,1300.0,260.0
0.018860517,0.82605207,0.02,0.29966283,-2.1325078,13,0.1,0.6731571,1400.0,280.0
0.018742811,0.82653105,0.0,0.29986674,-5.0721755,14,0.05,0.6732932,1500.0,300.0
0.018713411,0.8264739,0.01,0.29892159,-2.7326572,15,0.15,0.67336637,1600.0,320.0
0.018582944,0.8260105,0.0,0.29828107,-3.7673676,16,0.05,0.6733501,1700.0,340.0
0.018516572,0.8242809,0.01,0.2979001,-5.8748794,17,0.05,0.673384,1800.0,360.0
0.018455824,0.8236191,0.0,0.29823226,-7.51431,18,0.15,0.67348033,1900.0,380.0
0.01845287,0.82315314,0.0,0.2979018,-5.1292343,19,0.05,0.67352736,2000.0,400.0
0.018642375,0.82335407,0.01,0.29780707,-5.1297026,20,0.2,0.6736857,2100.0,420.0
0.018673126,0.8243357,0.01,0.29772058,-4.3593836,21,0.05,0.6736557,2200.0,440.0
0.018658908,0.82402116,0.0,0.29781544,-7.0157137,22,0.1,0.67361236,2300.0,460.0
0.018630732,0.82389504,0.0,0.29799256,-10.2524185,23,0.05,0.6736574,2400.0,480.0
0.018619895,0.8233234,0.01,0.29766428,-3.6902268,24,0.0,0.67367613,2500.0,500.0
0.018596424,0.8232361,0.0,0.2978358,-6.8268204,25,0.1,0.6737296,2600.0,520.0
0.018629853,0.8232614,0.01,0.2980098,-6.8979163,26,0.25,0.6737804,2700.0,540.0
0.018611722,0.82387495,0.0,0.2982465,-6.1533217,27,0.1,0.6737808,2800.0,560.0
0.018566964,0.82385325,0.0,0.2987427,-8.503844,28,0.05,0.67378217,2900.0,580.0
0.018530238,0.82374436,0.0,0.2988859,-5.128783,29,0.1,0.6738092,3000.0,600.0
0.018530874,0.8233518,0.0,0.29883143,-9.570307,30,0.1,0.67379415,3100.0,620.0
0.018518819,0.8224959,0.01,0.29880834,-4.598762,31,0.15,0.67380613,3200.0,640.0
0.018544199,0.8218699,0.01,0.29875976,-11.270918,32,0.1,0.6738212,3300.0,660.0
0.01857776,0.82143134,0.0,0.2988361,-9.238538,33,0.1,0.6738134,3400.0,680.0
0.018660994,0.8213543,0.01,0.29874855,-11.324726,34,0.1,0.67382187,3500.0,700.0
0.018779177,0.8209299,0.0,0.29883137,-6.928341,35,0.2,0.6738531,3600.0,720.0
0.018886605,0.8211307,0.0,0.29892236,-8.861781,36,0.25,0.6739218,3700.0,740.0
0.018928224,0.8213913,0.01,0.2989725,-11.990457,37,0.1,0.67400897,3800.0,760.0
0.018963635,0.8215915,0.0,0.29896748,-9.955355,38,0.1,0.67400944,3900.0,780.0
0.019024896,0.82160324,0.0,0.29910773,-11.974411,39,0.1,0.67400485,4000.0,800.0
0.019039165,0.82182366,0.0,0.2994581,-6.3665376,40,0.0,0.67404354,4100.0,820.0
0.019122984,0.822272,0.0,0.2993823,-10.037428,41,0.05,0.6739976,4200.0,840.0
0.01928628,0.8232123,0.0,0.2990255,-3.8790565,42,0.05,0.6740539,4300.0,860.0
0.019273844,0.8234281,0.0,0.2989147,-11.641035,43,0.1,0.6740857,4400.0,880.0
0.019252965,0.823792,0.01,0.29867417,-3.9459434,44,0.1,0.6740822,4500.0,900.0
0.01923129,0.82376313,0.0,0.29846776,-7.366212,45,0.0,0.67407095,4600.0,920.0
0.01921511,0.8235192,0.0,0.29821086,-7.9450636,46,0.15,0.6740715,4700.0,940.0
0.019198155,0.8231273,0.01,0.29815617,-8.10177,47,0.1,0.6740397,4800.0,960.0
0.019228052,0.82305104,0.0,0.29818162,-6.2671523,48,0.15,0.67401606,4900.0,980.0
0.019339036,0.822983,0.0,0.29802525,-6.379663,49,0.1,0.67395294,5000.0,1000.0
