stats_o/mean,test/mean_Q,stats_g/mean,test/episode,train/episode,test/success_rate,train/success_rate,stats_g/std,epoch,stats_o/std
0.31327766,-2.9092593,0.6743008,20.0,100.0,0.0,0.0,0.019686338,0,0.6979534
0.30548957,-2.850002,0.67388254,40.0,200.0,0.0,0.0,0.018498123,1,0.73608446
0.30303252,-2.4725873,0.67384213,60.0,300.0,0.0,0.0,0.018521385,2,0.7761015
0.30174777,-3.2478778,0.6739431,80.0,400.0,0.0,0.0,0.018612163,3,0.79635864
0.2992609,-3.2778296,0.6734657,100.0,500.0,0.0,0.0,0.018742284,4,0.8100438
0.2976801,-3.0220063,0.67356914,120.0,600.0,0.0,0.0,0.018799363,5,0.81689435
0.29766437,-2.907749,0.6737681,140.0,700.0,0.0,0.0,0.019016199,6,0.821976
