train/episode,stats_o/std,test/success_rate,train/success_rate,epoch,test/mean_Q,test/episode,stats_g/mean,stats_g/std,stats_o/mean
100.0,0.7725808,0.0,0.0,0,-2.9458287,20.0,0.3747162,0.238656,0.19539244
200.0,0.76441306,0.0,0.0,1,-5.0999074,40.0,0.37569094,0.23996224,0.19563508
300.0,0.7562035,0.0,0.0,2,-7.3964195,60.0,0.37815163,0.23997493,0.19461863
400.0,0.7529517,0.0,0.0,3,-9.4481735,80.0,0.37785187,0.23889507,0.19416928
500.0,0.75325125,0.0,0.0008333333333333334,4,-11.232717,100.0,0.3788912,0.2391044,0.193864
600.0,0.75570136,0.0,0.0,5,-13.046283,120.0,0.37833336,0.23976286,0.19365601
700.0,0.75860554,0.0,0.0,6,-14.772136,140.0,0.37887678,0.24044721,0.19377305
800.0,0.76130754,0.004166666666666667,0.0,7,-16.703058,160.0,0.37877008,0.24125402,0.1942441
900.0,0.7644207,0.0,0.0016666666666666668,8,-17.989641,180.0,0.37824282,0.24198799,0.1944391
1000.0,0.7682841,0.004166666666666667,0.0,9,-18.302057,200.0,0.3772427,0.242476,0.19420618
1100.0,0.7727733,0.012500000000000002,0.0016666666666666668,10,-20.685541,220.0,0.37710926,0.24274135,0.19469148
1200.0,0.77795595,0.004166666666666667,0.0016666666666666668,11,-22.290169,240.0,0.37718108,0.24321787,0.1948684
1300.0,0.7834452,0.012500000000000002,0.005,12,-23.467394,260.0,0.3769432,0.24352942,0.19517715
1400.0,0.7901194,0.0,0.0033333333333333335,13,-22.35702,280.0,0.3768778,0.24381967,0.19508
1500.0,0.79636127,0.012500000000000002,0.0025,14,-24.70855,300.0,0.37657425,0.24415405,0.19522256
1600.0,0.8036327,0.024999999999999998,0.0025,15,-22.830894,320.0,0.37637067,0.24413152,0.19514315
1700.0,0.81006473,0.020833333333333332,0.005833333333333334,16,-26.880869,340.0,0.3756577,0.24447004,0.19517465
1800.0,0.8170647,0.016666666666666666,0.004166666666666667,17,-26.401423,360.0,0.3752556,0.24472018,0.19532739
1900.0,0.8241413,0.016666666666666666,0.010833333333333334,18,-25.104818,380.0,0.37498292,0.24494572,0.19503798
2000.0,0.8309259,0.025000000000000005,0.009166666666666667,19,-27.07672,400.0,0.3747855,0.24482106,0.19512556
2100.0,0.8371963,0.024999999999999998,0.012500000000000002,20,-27.704184,420.0,0.37479374,0.2447714,0.19531114
2200.0,0.8433504,0.0375,0.005833333333333333,21,-26.268812,440.0,0.37456337,0.2447638,0.19546348
2300.0,0.8493337,0.06666666666666667,0.012499999999999999,22,-24.734026,460.0,0.3744034,0.24467312,0.19535004
2400.0,0.85520834,0.04583333333333334,0.009166666666666668,23,-27.89029,480.0,0.37473032,0.24435724,0.19542067
2500.0,0.8612258,0.0375,0.010833333333333334,24,-28.116814,500.0,0.3749242,0.24393429,0.19546634
2600.0,0.86702234,0.07083333333333333,0.014166666666666668,25,-23.771624,520.0,0.37491956,0.24364291,0.19563265
2700.0,0.872178,0.041666666666666664,0.009166666666666667,26,-25.384384,540.0,0.37523678,0.24333358,0.19590823
2800.0,0.8777171,0.05833333333333333,0.011666666666666667,27,-26.56246,560.0,0.375488,0.24305128,0.19610767
2900.0,0.8825614,0.07083333333333335,0.011666666666666667,28,-28.360361,580.0,0.3756642,0.24271493,0.19611627
3000.0,0.88695794,0.05833333333333334,0.01,29,-27.850317,600.0,0.3758541,0.24244396,0.19596058
3100.0,0.8912726,0.07083333333333335,0.01,30,-25.147263,620.0,0.3760902,0.24219303,0.19582851
3200.0,0.89551896,0.04583333333333334,0.011666666666666667,31,-28.33676,640.0,0.3763021,0.24206956,0.19589724
3300.0,0.8997589,0.04583333333333334,0.010833333333333334,32,-26.971407,660.0,0.37630388,0.24199592,0.19585223
3400.0,0.9037385,0.08333333333333333,0.015,33,-24.53382,680.0,0.37638542,0.24175318,0.19583364
3500.0,0.9075387,0.0625,0.02,34,-24.444626,700.0,0.37635437,0.24159451,0.19567351
3600.0,0.91159075,0.07916666666666666,0.015,35,-24.87593,720.0,0.37632594,0.24134628,0.19531132
3700.0,0.9152102,0.075,0.01916666666666667,36,-25.410141,740.0,0.3763871,0.24124216,0.1952299
3800.0,0.91880417,0.06666666666666667,0.019166666666666665,37,-23.71068,760.0,0.3765234,0.24107452,0.19490938
3900.0,0.9219386,0.07916666666666668,0.02,38,-22.299332,780.0,0.37666652,0.24099411,0.19472903
4000.0,0.924989,0.09166666666666667,0.01916666666666667,39,-23.515738,800.0,0.37669662,0.24073954,0.1944388
4100.0,0.9277864,0.07083333333333335,0.0175,40,-24.75753,820.0,0.37669793,0.24058188,0.19418196
4200.0,0.9308495,0.10416666666666667,0.016666666666666666,41,-24.28601,840.0,0.37698522,0.2402771,0.1940419
4300.0,0.93356705,0.08333333333333333,0.02,42,-22.57192,860.0,0.3770542,0.24009453,0.1938893
4400.0,0.9361194,0.10416666666666667,0.018333333333333333,43,-19.7177,880.0,0.37704182,0.23993732,0.1936812
4500.0,0.93847793,0.09166666666666667,0.020833333333333332,44,-22.295584,900.0,0.37716505,0.23976819,0.19346458
4600.0,0.9406293,0.10833333333333334,0.014166666666666668,45,-20.281384,920.0,0.37720397,0.23963352,0.19339968
4700.0,0.94279957,0.04583333333333334,0.020833333333333332,46,-25.69753,940.0,0.37729868,0.23946749,0.19336289
4800.0,0.9448802,0.10000000000000002,0.020833333333333332,47,-20.853983,960.0,0.37739387,0.23930053,0.19333345
4900.0,0.9470499,0.12083333333333335,0.01916666666666667,48,-22.708132,980.0,0.37746677,0.23925193,0.19329208
5000.0,0.9490845,0.09166666666666667,0.013333333333333336,49,-24.915915,1000.0,0.37753406,0.23913296,0.19320516
