epoch,test/mean_Q,stats_o/std,stats_g/std,stats_g/mean,train/success_rate,test/success_rate,test/episode,stats_o/mean,train/episode
61,-22.98215,0.96798724,0.23916462,0.3783229,0.024,0.08499999999999999,1240.0,0.1931035,6200.0
62,-23.554958,0.96906614,0.23911214,0.37847024,0.029000000000000005,0.09,1260.0,0.1929932,6300.0
63,-20.91117,0.970098,0.2390323,0.37859526,0.037,0.11499999999999999,1280.0,0.19289431,6400.0
64,-21.13245,0.97113276,0.23894492,0.37866396,0.022000000000000002,0.10500000000000001,1300.0,0.19285545,6500.0
65,-18.834517,0.97207296,0.23886375,0.37873212,0.023,0.15500000000000003,1320.0,0.19273865,6600.0
66,-21.837639,0.9731463,0.2387828,0.3787748,0.032,0.09000000000000001,1340.0,0.19270821,6700.0
67,-17.84673,0.97409546,0.23875532,0.37870684,0.021,0.16,1360.0,0.1926687,6800.0
68,-19.244534,0.9750513,0.2386562,0.3787756,0.031,0.16,1380.0,0.19256122,6900.0
69,-19.780437,0.9760667,0.23862736,0.37874144,0.038,0.09,1400.0,0.19245064,7000.0
70,-22.731361,0.9769989,0.2386134,0.3787121,0.041,0.09,1420.0,0.19233933,7100.0
71,-19.139034,0.977787,0.23855665,0.37867555,0.032,0.11499999999999999,1440.0,0.19228426,7200.0
72,-20.147123,0.9784811,0.2385184,0.3785686,0.026000000000000002,0.11499999999999999,1460.0,0.19222054,7300.0
73,-20.11536,0.97923326,0.23851371,0.37854514,0.028000000000000004,0.10999999999999999,1480.0,0.19216695,7400.0
74,-19.375172,0.97983134,0.23846893,0.37851682,0.035,0.09,1500.0,0.19209889,7500.0
75,-18.363297,0.9805595,0.23843542,0.3784774,0.035,0.14500000000000002,1520.0,0.19209805,7600.0
76,-19.12327,0.98128253,0.23837093,0.3785463,0.041,0.15,1540.0,0.19205719,7700.0
77,-19.028364,0.9820908,0.2383384,0.3785655,0.041,0.15,1560.0,0.19206555,7800.0
78,-19.23587,0.9828497,0.23832731,0.3785755,0.026000000000000002,0.175,1580.0,0.19199058,7900.0
79,-21.482489,0.98352706,0.23830387,0.3785762,0.033,0.10500000000000001,1600.0,0.19195884,8000.0
80,-21.389399,0.98424304,0.2382942,0.378591,0.03200000000000001,0.14500000000000002,1620.0,0.1919324,8100.0
81,-19.671368,0.9849285,0.23822618,0.37862253,0.032,0.16,1640.0,0.19185957,8200.0
