test/episode,stats_o/mean,stats_o/std,stats_g/mean,train/success_rate,test/mean_Q,stats_g/std,train/episode,test/success_rate,epoch
500.0,0.19579892,0.9001115,0.37229872,0.015,-24.48266,0.24466777,2500.0,0.05416666666666667,24
520.0,0.19544818,0.90412456,0.3721405,0.012500000000000002,-25.81669,0.24446003,2600.0,0.06666666666666667,25
540.0,0.19536938,0.9078794,0.37213984,0.016666666666666666,-23.979479,0.24426506,2700.0,0.029166666666666664,26
560.0,0.19553398,0.91118056,0.3719963,0.0175,-24.441742,0.2440206,2800.0,0.07083333333333335,27
580.0,0.19573931,0.91439456,0.37194172,0.015,-23.938263,0.24378164,2900.0,0.06666666666666667,28
600.0,0.19557743,0.917304,0.37201133,0.021666666666666667,-23.694147,0.24353759,3000.0,0.05416666666666667,29
620.0,0.1951549,0.9200735,0.37193918,0.019166666666666665,-26.441248,0.24346761,3100.0,0.08333333333333333,30
640.0,0.19461714,0.92257524,0.37184486,0.01916666666666667,-24.384575,0.24333422,3200.0,0.09999999999999999,31
660.0,0.19441114,0.92539006,0.37173915,0.018333333333333337,-26.415453,0.24315973,3300.0,0.0625,32
680.0,0.19424443,0.92742044,0.3715333,0.02416666666666667,-24.267807,0.24299614,3400.0,0.08333333333333333,33
700.0,0.19418775,0.9294365,0.3714194,0.021666666666666667,-23.625854,0.24289079,3500.0,0.07916666666666666,34
720.0,0.19414543,0.93163866,0.37130627,0.025000000000000005,-22.609533,0.24278145,3600.0,0.06666666666666667,35
740.0,0.19414257,0.9336164,0.3713757,0.01916666666666667,-24.865862,0.24268992,3700.0,0.06666666666666667,36
760.0,0.19410032,0.9355013,0.3715246,0.03166666666666667,-23.529806,0.24254526,3800.0,0.07500000000000001,37
780.0,0.19381799,0.93743616,0.37148038,0.0175,-25.123428,0.24244316,3900.0,0.08333333333333333,38
800.0,0.19374122,0.93944263,0.37150255,0.024166666666666666,-26.36249,0.2422914,4000.0,0.09166666666666667,39
820.0,0.19360752,0.9416833,0.37149027,0.02916666666666667,-24.031534,0.24218346,4100.0,0.05000000000000001,40
840.0,0.19344562,0.94393754,0.37161985,0.0175,-24.275553,0.24195957,4200.0,0.075,41
860.0,0.19326012,0.9460861,0.3716508,0.020833333333333332,-21.050642,0.24178381,4300.0,0.08750000000000001,42
880.0,0.19316186,0.9481537,0.37170365,0.021666666666666667,-21.776548,0.24169578,4400.0,0.07083333333333333,43
900.0,0.19297712,0.950111,0.37168583,0.022500000000000003,-23.236887,0.2416575,4500.0,0.09583333333333333,44
920.0,0.19285928,0.95219475,0.37171397,0.015833333333333335,-21.370407,0.24163894,4600.0,0.10416666666666667,45
940.0,0.19279009,0.9538068,0.37180743,0.02416666666666667,-22.10312,0.24159057,4700.0,0.08333333333333333,46
960.0,0.19279094,0.9553261,0.37190822,0.018333333333333337,-18.894606,0.2415017,4800.0,0.10416666666666667,47
980.0,0.19274096,0.95691353,0.3718662,0.01916666666666667,-21.352922,0.24147,4900.0,0.07083333333333335,48
1000.0,0.1928938,0.9582847,0.37189826,0.02666666666666667,-19.864618,0.24143763,5000.0,0.10833333333333334,49
