train/success_rate,test/mean_Q,epoch,test/episode,stats_o/std,train/episode,test/success_rate,stats_o/mean,stats_g/mean,stats_g/std
0.0,-2.7651107,0,20.0,0.8043888,100.0,0.0,0.19933064,0.3610005,0.24506812
0.0,-5.275659,1,40.0,0.8005216,200.0,0.0,0.20513393,0.36371017,0.24281783
0.0,-6.938296,2,60.0,0.79512674,300.0,0.0,0.20484205,0.36693332,0.24280687
0.0,-8.685352,3,80.0,0.79583377,400.0,0.0,0.20436561,0.36862895,0.24266516
0.0,-10.323325,4,100.0,0.7963965,500.0,0.0,0.20256682,0.37207898,0.24406974
0.0008333333333333334,-11.6614,5,120.0,0.7996431,600.0,0.0,0.20105797,0.37201282,0.244657
0.0,-14.187546,6,140.0,0.80509466,700.0,0.0,0.20071785,0.37168732,0.24558301
0.0,-15.346698,7,160.0,0.81092566,800.0,0.0,0.2005948,0.3712348,0.24658401
0.0008333333333333334,-15.803721,8,180.0,0.8173724,900.0,0.004166666666666667,0.19971113,0.37026373,0.24744736
0.0,-17.625551,9,200.0,0.82205826,1000.0,0.0,0.19900285,0.36946854,0.24768674
0.0008333333333333334,-19.468317,10,220.0,0.8283035,1100.0,0.012500000000000002,0.19852793,0.36977664,0.247734
0.0025,-19.814207,11,240.0,0.834544,1200.0,0.004166666666666667,0.19857915,0.3700731,0.24781229
0.0033333333333333335,-21.589943,12,260.0,0.84169227,1300.0,0.012500000000000002,0.19787776,0.37024155,0.24791177
0.008333333333333333,-21.461615,13,280.0,0.8474317,1400.0,0.008333333333333333,0.1975907,0.36995253,0.24801455
0.005,-21.457169,14,300.0,0.85291094,1500.0,0.029166666666666664,0.19768311,0.36964035,0.24792607
0.0016666666666666668,-21.511461,15,320.0,0.8581543,1600.0,0.049999999999999996,0.19769377,0.36917162,0.24734485
0.01,-24.972633,16,340.0,0.8622687,1700.0,0.041666666666666664,0.19762342,0.36868355,0.24715447
0.010833333333333334,-22.885984,17,360.0,0.8675987,1800.0,0.03333333333333333,0.19717927,0.36870095,0.2468339
0.011666666666666667,-21.727335,18,380.0,0.8730826,1900.0,0.07083333333333335,0.1965911,0.36832333,0.24660228
0.0175,-22.663986,19,400.0,0.8780368,2000.0,0.041666666666666664,0.1964196,0.36796764,0.2462656
0.015,-26.052887,20,420.0,0.88377875,2100.0,0.037500000000000006,0.19648047,0.3678626,0.24587035
0.013333333333333334,-24.084436,21,440.0,0.88857347,2200.0,0.06666666666666667,0.19631754,0.36735177,0.24572177
0.011666666666666667,-23.443604,22,460.0,0.8935898,2300.0,0.075,0.19592547,0.3671836,0.24537326
0.007500000000000001,-27.823387,23,480.0,0.8974619,2400.0,0.03333333333333333,0.19570643,0.36672333,0.24548475
0.008333333333333333,-27.82607,24,500.0,0.90119475,2500.0,0.04583333333333334,0.19543993,0.3661326,0.24555112
0.014166666666666666,-22.626257,25,520.0,0.905037,2600.0,0.07916666666666666,0.19484659,0.36558893,0.24562283
0.010833333333333334,-23.658789,26,540.0,0.90896654,2700.0,0.05416666666666666,0.19444628,0.36549035,0.24542795
0.014166666666666666,-26.898905,27,560.0,0.9126808,2800.0,0.0625,0.19428192,0.36535272,0.24522929
0.015833333333333335,-26.692574,28,580.0,0.9161999,2900.0,0.02916666666666667,0.19436051,0.36528817,0.24500735
0.01916666666666667,-25.18096,29,600.0,0.919306,3000.0,0.08750000000000001,0.1942916,0.36498985,0.24496077
0.011666666666666667,-25.241251,30,620.0,0.9214999,3100.0,0.05416666666666667,0.19410259,0.3646541,0.24494039
0.0175,-24.801577,31,640.0,0.9238846,3200.0,0.07083333333333335,0.19411601,0.36452413,0.24491732
0.012499999999999999,-27.460798,32,660.0,0.9263456,3300.0,0.0375,0.19425209,0.3644189,0.2448226
0.0175,-27.506292,33,680.0,0.9285758,3400.0,0.029166666666666664,0.19392778,0.36412188,0.24470769
0.015833333333333335,-26.6251,34,700.0,0.9303836,3500.0,0.06666666666666668,0.19403087,0.36396918,0.24470381
0.019166666666666665,-26.438057,35,720.0,0.93223697,3600.0,0.07500000000000001,0.19398518,0.3639097,0.24462478
0.022500000000000003,-27.108603,36,740.0,0.9342513,3700.0,0.04583333333333334,0.19404866,0.36419335,0.24456988
0.014166666666666668,-25.583834,37,760.0,0.93656605,3800.0,0.0625,0.19408067,0.36426005,0.24456961
0.024999999999999998,-28.054155,38,780.0,0.938618,3900.0,0.075,0.19389598,0.36429986,0.24449863
0.0175,-27.241095,39,800.0,0.9406302,4000.0,0.0625,0.19358723,0.3643209,0.24443221
0.023333333333333334,-26.39319,40,820.0,0.9428207,4100.0,0.049999999999999996,0.19338459,0.3643683,0.24438669
0.021666666666666667,-26.381094,41,840.0,0.9448869,4200.0,0.10000000000000002,0.19319047,0.36449805,0.2442267
0.023333333333333334,-26.066986,42,860.0,0.9468648,4300.0,0.08333333333333333,0.19319575,0.36449996,0.24417423
0.028333333333333335,-25.520166,43,880.0,0.9487465,4400.0,0.1125,0.19323818,0.36449036,0.24411833
0.021666666666666667,-24.222763,44,900.0,0.9501402,4500.0,0.08750000000000001,0.19333921,0.36444643,0.24403216
0.02666666666666667,-21.696793,45,920.0,0.95159465,4600.0,0.09583333333333333,0.193334,0.36439395,0.24392007
0.016666666666666666,-25.797861,46,940.0,0.95299464,4700.0,0.08750000000000001,0.1932382,0.3643918,0.24381833
0.021666666666666667,-24.940071,47,960.0,0.9543522,4800.0,0.09166666666666667,0.19333096,0.36440507,0.24370368
0.018333333333333337,-24.652819,48,980.0,0.9556002,4900.0,0.07916666666666666,0.19308178,0.36443076,0.24364738
